14968,Литейный проспект (1; 5; 7; 10; 11; 22),ЛИТЕЙНЫЙ ПРОСПЕКТ,trolleybus,59.93238175,30.3493099
14969,Замшина улица (3; 43),ЗАМШИНА УЛИЦА,trolleybus,59.97138412,30.3981133
14970,Северный проспект (6; 31),СЕВЕРНЫЙ ПРОСПЕКТ,trolleybus,60.02077565,30.4056396
14971,Проспект Металлистов; 110 (3; 43),ПРОСПЕКТ МЕТАЛЛИСТОВ; 110,trolleybus,59.97023222,30.4029789
14974,Улица Есенина (13),УЛИЦА ЕСЕНИНА (посадка),trolleybus,60.05778201,30.34692
14975,Проспект Луначарского (6; 38),ПРОСПЕКТ ЛУНАЧАРСКОГО,trolleybus,60.02622568,30.4113426
14977,Пискарёвский проспект (3; 43),ПИСКАРЁВСКИЙ ПРОСПЕКТ,trolleybus,59.96898457,30.4089546
14978,Гражданский проспект; 110 (6; 38),ГРАЖДАНСКИЙ ПРОСПЕКТ; 110,trolleybus,60.03050454,30.4155598
14979,Сиреневый бульвар (13),СИРЕНЕВЫЙ БУЛЬВАР,trolleybus,60.05510915,30.3447895
14980,"""Гостиница """"Карелия"""" (3; 16)""","""ГОСТИНИЦА """"КАРЕЛИЯ""""""",trolleybus,59.96877263,30.4265194
14984,Проспект Просвещения (13),ПРОСПЕКТ ПРОСВЕЩЕНИЯ,trolleybus,60.05090508,30.3413219
14985,Улица Кораблестроителей (9; 11),УЛИЦА КОРАБЛЕСТРОИТЕЛЕЙ,trolleybus,59.9403029,30.2180004
14987,"""metro """"Гражданский проспект"""" (6; 38)""","""metro """"ГРАЖДАНСКИЙ ПРОСПЕКТ""""""",trolleybus,60.03615765,30.4213276
14988,Боцманская улица (9; 11),БОЦМАНСКАЯ УЛИЦА,trolleybus,59.94350162,30.2151012
14989,Поэтический бульвар (13),ПОЭТИЧЕСКИЙ БУЛЬВАР,trolleybus,60.045616,30.3370686
14990,Гражданский проспект; 131 (6; 38),ГРАЖДАНСКИЙ ПРОСПЕКТ; 131,trolleybus,60.03976667,30.4251423
14991,Проспект Бакунина (10),ПРОСПЕКТ БАКУНИНА,trolleybus,59.92950366,30.3712006
14992,Мичманская улица (9; 11),МИЧМАНСКАЯ УЛИЦА,trolleybus,59.94650506,30.2150021
14993,Проспект Луначарского (13),ПРОСПЕКТ ЛУНАЧАРСКОГО,trolleybus,60.04199056,30.3340588
14994,5-я Советская улица (10),5-Я СОВЕТСКАЯ УЛИЦА,trolleybus,59.9320019,30.3757973
14995,Новосмоленская набережная (9; 11),НОВОСМОЛЕНСКАЯ НАБЕРЕЖНАЯ,trolleybus,59.95110205,30.2175999
14996,Учебный переулок (13),УЧЕБНЫЙ ПЕРЕУЛОК,trolleybus,60.03898214,30.3315582
14997,8-я Советская улица (10),8-Я СОВЕТСКАЯ УЛИЦА,trolleybus,59.9346026,30.3792
14998,Капитанская улица (9; 11),КАПИТАНСКАЯ УЛИЦА,trolleybus,59.95460751,30.2196941
14999,Улица Сикейроса (13),УЛИЦА СИКЕЙРОСА,trolleybus,60.0345338,30.3286228
15000,Новгородская улица (оборотная; 10),НОВГОРОДСКАЯ УЛИЦА,trolleybus,59.93270342,30.3834991
15001,Улица Кораблестроителей; 35 (9; 11),УЛИЦА КОРАБЛЕСТРОИТЕЛЕЙ; 35,trolleybus,59.95618057,30.2253876
15002,Северный проспект (13),СЕВЕРНЫЙ ПРОСПЕКТ,trolleybus,60.03011216,30.3295002
15003,Мытнинская улица (10),МЫТНИНСКАЯ УЛИЦА,trolleybus,59.9346026,30.3784008
15005,5-я Советская улица (10),5-Я СОВЕТСКАЯ УЛИЦА,trolleybus,59.93300114,30.3766003
15006,Улица Кораблестроителей (конечная; 9; 10; 11),УЛИЦА КОРАБЛЕСТРОИТЕЛЕЙ (посадки нет),trolleybus,59.95656357,30.2344208
15007,Проспект Тореза (13),ПРОСПЕКТ ТОРЕЗА,trolleybus,60.02522243,30.3250904
15008,Проспект Бакунина (10),ПРОСПЕКТ БАКУНИНА,trolleybus,59.92920249,30.3721981
15009,Рашетова улица (13),РАШЕТОВА УЛИЦА,trolleybus,60.02087463,30.330862
15010,Сызранская улица (конечная; 15),СЫЗРАНСКАЯ УЛИЦА,trolleybus,59.87900242,30.3342972
15012,Улица Шотмана. Универ.телекоммуникаций (14; 27; 28),УЛИЦА ШОТМАНА. УНИВЕРСИТЕТ ТЕЛЕКОММУНИКАЦИЙ,trolleybus,59.90247304,30.486372
15013,Дрезденская улица (13),ДРЕЗДЕНСКАЯ УЛИЦА,trolleybus,60.01643751,30.3378601
15014,Московский рынок (15),МОСКОВСКИЙ РЫНОК,trolleybus,59.87900242,30.3238983
15016,Улица Крыленко (14; 27; 28),УЛИЦА КРЫЛЕНКО,trolleybus,59.89941423,30.4892311
15017,Манчестерская улица (13),МАНЧЕСТЕРСКАЯ УЛИЦА,trolleybus,60.01277814,30.3435497
15019,Проспект Большевиков; 33 (14; 27; 28),ПРОСПЕКТ БОЛЬШЕВИКОВ; 33,trolleybus,59.89508758,30.4912453
15020,Заставская улица (15; 17; 24; 26),ЗАСТАВСКАЯ УЛИЦА,trolleybus,59.88834468,30.3200397
15021,Светлановский проспект (13),СВЕТЛАНОВСКИЙ ПРОСПЕКТ,trolleybus,60.01029282,30.347599
15022,Улица Тельмана (14; 27; 28),УЛИЦА ТЕЛЬМАНА,trolleybus,59.89177455,30.4903755
15024,Детская музыкальная школа (15; 17),ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА,trolleybus,59.89454971,30.3195686
15025,Институтский проспект (13),ИНСТИТУТСКИЙ ПРОСПЕКТ,trolleybus,60.00584062,30.3553104
15026,Народная улица (14; 27; 28),НАРОДНАЯ УЛИЦА,trolleybus,59.88485278,30.4867554
15028,tramный парк № 1 (15; 17),tramНЫЙ ПАРК № 1,trolleybus,59.89762266,30.3194313
15029,Правобережные бани (14; 27; 28),ПРАВОБЕРЕЖНЫЕ БАНИ,trolleybus,59.8837527,30.4783802
15030,Проспект Тореза; 21 (13),ПРОСПЕКТ ТОРЕЗА; 21,trolleybus,60.00222106,30.3598728
15031,Дальневосточный проспект (14; 27; 28),ДАЛЬНЕВОСТОЧНЫЙ ПРОСПЕКТ,trolleybus,59.88175122,30.4688873
15032,Детская улица (10; 11),ДЕТСКАЯ УЛИЦА,trolleybus,59.92940441,30.2495995
15033,Смоленская улица (15; 17),СМОЛЕНСКАЯ УЛИЦА,trolleybus,59.9042027,30.3188992
15034,Госпиталь (14; 27; 28),ГОСПИТАЛЬ,trolleybus,59.88006152,30.4621391
15036,Набережная Обводного канала (15; 17),НАБЕРЕЖНАЯ ОБВОДНОГО КАНАЛА,trolleybus,59.91020273,30.3185997
15037,5-я Красноармейская улица (15; 17),5-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,trolleybus,59.91320233,30.3184013
15038,Улица Академика Байкова (13; 40),УЛИЦА АКАДЕМИКА БАЙКОВА,trolleybus,60.02489141,30.3828201
15039,Технологический институт (15; 17),ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ,trolleybus,59.91499306,30.3183899
15040,Проспект Луначарского (13; 40),ПРОСПЕКТ ЛУНАЧАРСКОГО,trolleybus,60.03128246,30.3923416
15041,"""metro """"Ломоносовская"""" (14)""","""metro """"ЛОМОНОСОВСКАЯ""""""",trolleybus,59.87753881,30.4428329
15042,Вёсельная улица (10; 11),ВЁСЕЛЬНАЯ УЛИЦА,trolleybus,59.92790195,30.2439995
15044,Учительская улица (13; 40),УЧИТЕЛЬСКАЯ УЛИЦА,trolleybus,60.03429158,30.3947487
15045,Наличная улица (10; 11),НАЛИЧНАЯ УЛИЦА,trolleybus,59.92726193,30.2387981
15046,Улица Седова; 80 (14),УЛИЦА СЕДОВА; 80,trolleybus,59.87616426,30.4336433
15048,Проспект Просвещения (13; 40),ПРОСПЕКТ ПРОСВЕЩЕНИЯ,trolleybus,60.04019304,30.3995399
15050,Улица Седова; 70 (14),УЛИЦА СЕДОВА; 70,trolleybus,59.87921493,30.4295006
15051,Тимуровская улица (13; 40),ТИМУРОВСКАЯ УЛИЦА,trolleybus,60.04449738,30.4030743
15052,Шкиперский проток (10; 11),ШКИПЕРСКИЙ ПРОТОК,trolleybus,59.93430148,30.235302
15053,Железнодорожный проспект (14),ЖЕЛЕЗНОДОРОЖНЫЙ ПРОСПЕКТ,trolleybus,59.88335858,30.4244633
15054,Суздальский проспект (13; 40),СУЗДАЛЬСКИЙ ПРОСПЕКТ (высадка),trolleybus,60.04631512,30.4049091
15055,Малый проспект В.О. (9; 10; 11),МАЛЫЙ ПРОСПЕКТ В.О.,trolleybus,59.93840405,30.2334976
15056,Потемкинская ул. (15),ПОТЕМКИНСКАЯ УЛ.,trolleybus,59.94370346,30.3691998
15057,Светлановский проспект (13; 40),СВЕТЛАНОВСКИЙ ПРОСПЕКТ (посадка),trolleybus,60.04669366,30.4041405
15058,Улица Крупской (14),УЛИЦА КРУПСКОЙ,trolleybus,59.8863332,30.4233322
15059,"""metro """"Приморская"""" (10)""","""metro """"ПРИМОРСКАЯ""""""",trolleybus,59.94870444,30.2325001
15060,Музей Суворова (15),МУЗЕЙ СУВОРОВА,trolleybus,59.94360083,30.3742008
15061,Тимуровская улица (13; 40),ТИМУРОВСКАЯ УЛИЦА,trolleybus,60.04404037,30.4019547
15062,Улица Ткачей (14),УЛИЦА ТКАЧЕЙ,trolleybus,59.89045199,30.4186707
15063,Универсам (10),УНИВЕРСАМ,trolleybus,59.95143722,30.2338295
15065,Проспект Просвещения (13; 40),ПРОСПЕКТ ПРОСВЕЩЕНИЯ,trolleybus,60.03945286,30.3982697
15066,Проспект Елизарова (14),ПРОСПЕКТ ЕЛИЗАРОВА,trolleybus,59.89278528,30.4150543
15067,Кирочная улица (15),КИРОЧНАЯ УЛИЦА,trolleybus,59.94260191,30.3808022
15068,Учительская улица (13; 40),УЧИТЕЛЬСКАЯ УЛИЦА,trolleybus,60.03373549,30.3935661
15069,Большой Смоленский проспект (14),БОЛЬШОЙ СМОЛЕНСКИЙ ПРОСПЕКТ,trolleybus,59.89598516,30.4102116
15070,Уральская улица (9; 10; 11),УРАЛЬСКАЯ УЛИЦА,trolleybus,59.95610534,30.2364998
15071,Музей Суворова (15),МУЗЕЙ СУВОРОВА,trolleybus,59.94370346,30.3761024
15072,Проспект Луначарского (13; 40),ПРОСПЕКТ ЛУНАЧАРСКОГО,trolleybus,60.03055572,30.390913
15073,Невский завод (14),НЕВСКИЙ ЗАВОД,trolleybus,59.89861609,30.4061546
15074,"""Центр """"Ленинград"""" (15)""","""ЦЕНТР """"ЛЕНИНГРАД""""""",trolleybus,59.9455028,30.3677006
15075,Улица Академика Байкова (13; 40),УЛИЦА АКАДЕМИКА БАЙКОВА,trolleybus,60.02490506,30.3821507
15076,Площадь Бехтерева (14),ПЛОЩАДЬ БЕХТЕРЕВА,trolleybus,59.900596,30.4026928
15078,Улица Седова; 12 (14; 16),УЛИЦА СЕДОВА; 12,trolleybus,59.90196269,30.3990097
15079,Проспект Чернышевского (15),ПРОСПЕКТ ЧЕРНЫШЕВСКОГО,trolleybus,59.94650506,30.3584023
15081,trolleybusный парк N 3 (14; 16),trolleybusНЫЙ ПАРК N 3,trolleybus,59.90416845,30.3902779
15082,Литейный проспект (15),ЛИТЕЙНЫЙ ПРОСПЕКТ,trolleybus,59.94663162,30.3507614
15083,Проспект Металлистов (3; 43),ПРОСПЕКТ МЕТАЛЛИСТОВ,trolleybus,59.97365363,30.3908005
15084,Улица 2-й Луч (14; 16),УЛИЦА 2-Й ЛУЧ,trolleybus,59.90893911,30.3984852
15085,Проспект Тореза (13),ПРОСПЕКТ ТОРЕЗА,trolleybus,59.9998374,30.3632507
15086,Шоссе Революции (16; 18),ШОССЕ РЕВОЛЮЦИИ,trolleybus,59.95910422,30.4222813
15087,Фаянсовая улица (14),ФАЯНСОВАЯ УЛИЦА,trolleybus,59.91136699,30.3972626
15088,Улица Передовиков (1; 22),УЛИЦА ПЕРЕДОВИКОВ,trolleybus,59.94180138,30.4666023
15089,Проспект Тореза; 21 (13),ПРОСПЕКТ ТОРЕЗА; 21,trolleybus,60.0027128,30.3596687
15091,Институтский проспект (13),ИНСТИТУТСКИЙ ПРОСПЕКТ,trolleybus,60.00675228,30.3544197
15092,Улица Профессора Качалова (14; 16),УЛИЦА ПРОФЕССОРА КАЧАЛОВА,trolleybus,59.915962,30.39888
15093,Светлановский проспект (13),СВЕТЛАНОВСКИЙ ПРОСПЕКТ,trolleybus,60.01029282,30.3480301
15094,Большая Пороховская улица (16; 18),БОЛЬШАЯ ПОРОХОВСКАЯ УЛИЦА,trolleybus,59.95289416,30.4217014
15095,Манчестерская улица (13),МАНЧЕСТЕРСКАЯ УЛИЦА,trolleybus,60.01340286,30.3430672
15096,Улица Александра Невского (14; 16),УЛИЦА АЛЕКСАНДРА НЕВСКОГО,trolleybus,59.92661505,30.3874168
15097,"""Объединение """"Луч"""" (16; 18)""","""ОБЪЕДИНЕНИЕ """"ЛУЧ""""""",trolleybus,59.94948086,30.4210987
15098,5-я Красноармейская улица (15; 17),5-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,trolleybus,59.9130551,30.3181095
15099,Дрезденская улица (13),ДРЕЗДЕНСКАЯ УЛИЦА,trolleybus,60.0167925,30.337719
15100,Набережная Обводного канала (15; 17),НАБЕРЕЖНАЯ ОБВОДНОГО КАНАЛА,trolleybus,59.91009315,30.318161
15101,Рашетова улица (13),РАШЕТОВА УЛИЦА,trolleybus,60.02189167,30.3296299
